companyId,name,price,category,type,term,billingPeriod,conditional,schedule,description,imageUrl
artists-hub-nyamirambo,Live Traditional Music Band,234000,Talent Booking,service,,,,,"Book musicians playing inanga, umuduri, and drums live.",https://images.unsplash.com/photo-1493225457124-a3eb161ffa5f?w=400&h=400&fit=crop
artists-hub-nyamirambo,Event Emcee (MC),130000,Talent Booking,service,,,,,Book a professional bilingual emcee for weddings and events.,https://images.unsplash.com/photo-1478147427282-58a87a120781?w=400&h=400&fit=crop
electronics,Nova X12 Smartphone,519000,Phones,physical,,,,,"128GB storage, 6.5"" display, dual camera.",https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=400&h=400&fit=crop
electronics,Nova Lite Smartphone,259000,Phones,physical,,,,,"64GB storage, budget-friendly daily driver.",https://images.unsplash.com/photo-1592286927505-1def25115558?w=400&h=400&fit=crop
electronics,Phone Case (Universal),10400,Phones,physical,,,,,"Shockproof silicone case, multiple sizes.",https://images.unsplash.com/photo-1601593346740-925612772716?w=400&h=400&fit=crop
electronics,Aero 14 Laptop,845000,Laptops,physical,,,,,"14"" laptop, 8GB RAM, 256GB SSD.",https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=400&h=400&fit=crop
electronics,Aero Pro 16 Laptop,1235000,Laptops,physical,,,,,"16"" laptop, 16GB RAM, 512GB SSD, dedicated GPU.",https://images.unsplash.com/photo-1517336714731-489689fd1ca8?w=400&h=400&fit=crop
electronics,"Laptop Sleeve 15""",19500,Laptops,physical,,,,,"Padded neoprene sleeve, water-resistant.",https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&h=400&fit=crop
electronics,Wireless Earbuds Pro,84000,Audio,physical,,,,,"Active noise cancelling, 24h battery with case.",https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=400&h=400&fit=crop
electronics,Over-Ear Headphones,110000,Audio,physical,,,,,Studio-grade over-ear headphones with mic.,https://images.unsplash.com/photo-1546435770-a3e426bf472b?w=400&h=400&fit=crop
electronics,Bluetooth Speaker,58000,Audio,physical,,,,,"Portable waterproof speaker, 12h battery.",https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?w=400&h=400&fit=crop
electronics,Wireless Controller,52000,Gaming,physical,,,,,"Bluetooth controller, compatible with PC and mobile.",https://images.unsplash.com/photo-1593305841991-05c297ba4575?w=400&h=400&fit=crop
electronics,1TB Gaming SSD,98000,Gaming,physical,,,,,NVMe SSD for faster load times.,https://images.unsplash.com/photo-1541029071515-84cc54f84dc5?w=400&h=400&fit=crop
electronics,Gaming Headset,72000,Gaming,physical,,,,,7.1 surround sound with noise-cancelling mic.,https://images.unsplash.com/photo-1599669454699-248893623440?w=400&h=400&fit=crop
electronics,20W USB-C Charger,15500,Accessories,physical,,,,,Fast-charging wall adapter.,https://images.unsplash.com/photo-1583863788434-e58a36330cf0?w=400&h=400&fit=crop
electronics,10000mAh Power Bank,26000,Accessories,physical,,,,,Dual-port portable charger.,https://images.unsplash.com/photo-1609592806598-04b3f7b0d4c0?w=400&h=400&fit=crop
hardware,Cordless Drill 18V,72000,Tools,physical,,,,,"Includes battery, charger, and case.",https://images.unsplash.com/photo-1581147036324-c1c9b6a0e6b4?w=400&h=400&fit=crop
hardware,Claw Hammer 16oz,11700,Tools,physical,,,,,"Fiberglass handle, steel head.",https://images.unsplash.com/photo-1530124566582-a618bc2615dc?w=400&h=400&fit=crop
hardware,Tool Set (45-piece),55000,Tools,physical,,,,,"Sockets, wrenches, and screwdrivers in a case.",https://images.unsplash.com/photo-1504148455328-c376907d081c?w=400&h=400&fit=crop
hardware,Measuring Tape 5m,7800,Tools,physical,,,,,Retractable steel tape with lock.,https://images.unsplash.com/photo-1572981779307-38b8cabb2407?w=400&h=400&fit=crop
hardware,Interior Paint 5L,36500,Paint,physical,,,,,"Matte white, washable finish.",https://images.unsplash.com/photo-1562259949-e8e7689d7828?w=400&h=400&fit=crop
hardware,Exterior Paint 5L,44000,Paint,physical,,,,,"Weather-resistant, choice of colors.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?w=400&h=400&fit=crop
hardware,Paint Roller Kit,10400,Paint,physical,,,,,"Roller, tray, and brush set.",https://images.unsplash.com/photo-1541123437800-1bb1317badc2?w=400&h=400&fit=crop
hardware,PVC Pipe 3m,9100,Plumbing,physical,,,,,"1-inch diameter, standard fitting.",https://images.unsplash.com/photo-1585704032915-c3400ca199e7?w=400&h=400&fit=crop
hardware,Faucet Mixer Tap,31000,Plumbing,physical,,,,,Chrome-finish kitchen mixer tap.,https://images.unsplash.com/photo-1584622781867-1c5e343df8ab?w=400&h=400&fit=crop
hardware,"Pipe Wrench 14""",18000,Plumbing,physical,,,,,Adjustable wrench for pipe fittings.,https://images.unsplash.com/photo-1581092160607-ee22621dd758?w=400&h=400&fit=crop
hardware,LED Bulb Pack (4),13000,Electrical,physical,,,,,"9W bulbs, warm white, E27 base.",https://images.unsplash.com/photo-1621905251189-08b45d6a269e?w=400&h=400&fit=crop
hardware,Extension Cable 10m,15500,Electrical,physical,,,,,3-socket extension cable with surge protection.,https://images.unsplash.com/photo-1601060506872-3e3a5a95935f?w=400&h=400&fit=crop
hardware,Circuit Breaker 20A,11700,Electrical,physical,,,,,Single-pole breaker for home panels.,https://images.unsplash.com/photo-1631679706909-1844bbd07221?w=400&h=400&fit=crop
hardware,Garden Hose 20m,23500,Garden,physical,,,,,Kink-resistant hose with spray nozzle.,https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=400&h=400&fit=crop
hardware,Pruning Shears,14500,Garden,physical,,,,,Bypass pruners for stems and small branches.,https://images.unsplash.com/photo-1585513553738-84f8c0e5d1e2?w=400&h=400&fit=crop
insurance,Auto Basic Plan,32500,Auto,membership,ongoing,monthly,true,,"Third-party liability cover, monthly premium.",https://images.unsplash.com/photo-1502877338535-766e1452684a?w=400&h=400&fit=crop
insurance,Auto Comprehensive Plan,78000,Auto,membership,ongoing,monthly,true,,"Full collision and theft cover, monthly premium.",https://images.unsplash.com/photo-1449965408869-eaa3f722e40d?w=400&h=400&fit=crop
insurance,Motorcycle Plan,19500,Auto,membership,ongoing,monthly,true,,"Cover for motorcycles and scooters, monthly.",https://images.unsplash.com/photo-1558981806-ec527fa84c39?w=400&h=400&fit=crop
insurance,Health Individual Plan,52000,Health,membership,ongoing,monthly,true,,"Outpatient and inpatient cover, monthly premium.",https://images.unsplash.com/photo-1576091160399-112ba8d25d1d?w=400&h=400&fit=crop
insurance,Health Family Plan,124000,Health,membership,ongoing,monthly,true,,"Covers up to 5 dependents, monthly premium.",https://images.unsplash.com/photo-1591123120675-6f7f1aae0e5b?w=400&h=400&fit=crop
insurance,Dental Add-On,15500,Health,membership,ongoing,monthly,true,,"Optional dental cover add-on, monthly.",https://images.unsplash.com/photo-1606811841689-23dfddce3e95?w=400&h=400&fit=crop
insurance,Home Basic Plan,26000,Home,membership,ongoing,monthly,true,,"Fire and theft cover for renters, monthly premium.",https://images.unsplash.com/photo-1560518883-ce09059eeffa?w=400&h=400&fit=crop
insurance,Home Owner Plan,58000,Home,membership,ongoing,monthly,true,,Structure and contents cover for homeowners.,https://images.unsplash.com/photo-1568605114967-8130f3a36994?w=400&h=400&fit=crop
insurance,Life Term Plan,39000,Life,membership,ongoing,monthly,true,,"20-year term life cover, monthly premium.",https://images.unsplash.com/photo-1511895426328-dc8714191300?w=400&h=400&fit=crop
insurance,Life Whole Plan,91000,Life,membership,ongoing,monthly,true,,Lifetime cover with savings component.,https://images.unsplash.com/photo-1518281420975-50db6e5d0a97?w=400&h=400&fit=crop
insurance,Business Liability Plan,72000,Business,membership,ongoing,monthly,true,,General liability cover for small businesses.,https://images.unsplash.com/photo-1454165804606-c3d57bc86b40?w=400&h=400&fit=crop
insurance,Business Property Plan,104000,Business,membership,ongoing,monthly,true,,Covers commercial property and equipment.,https://images.unsplash.com/photo-1497366216548-37526070297c?w=400&h=400&fit=crop
platform,Starter Plan,26000,Memberships,membership,ongoing,monthly,,,"Storefront + backoffice for one business, up to 50 products.",https://images.unsplash.com/photo-1454165804606-c3d57bc86b40?w=400&h=400&fit=crop
platform,Growth Plan,58000,Memberships,membership,ongoing,monthly,,,"Unlimited products, priority support, custom branding.",https://images.unsplash.com/photo-1460925895917-afdab827c52f?w=400&h=400&fit=crop
platform,Enterprise Plan,156000,Memberships,membership,ongoing,monthly,,,"Multi-location support, dedicated onboarding, custom integrations.",https://images.unsplash.com/photo-1497366754035-f200968a6e72?w=400&h=400&fit=crop
gym,Day Entrance,3000,Memberships,membership,dated,,,"{""date"":null,""capacity"":null}",Single-day gym floor access.,https://images.unsplash.com/photo-1534438327276-14e5300c3a48?w=400&h=400&fit=crop
gym,Gym Tonic (Aerobics) Pack (10),50000,Aerobics,service,,,,,Ten aerobics sessions.,https://images.unsplash.com/photo-1571902943202-507ec2618e8f?w=400&h=400&fit=crop
gym,Body Building Monthly,58000,Body Building,membership,ongoing,monthly,,,Unlimited body building floor access for one month.,https://images.unsplash.com/photo-1541534741688-6078c6bfb5c5?w=400&h=400&fit=crop
gym,Karate Kids (Coming Soon),0,Karate Kids,service,,,,,Karate classes for kids — coming soon.,https://images.unsplash.com/photo-1517963628607-235ccdd5476c?w=400&h=400&fit=crop
gym,Sauna (Coming Soon),0,Sauna,service,,,,,Sauna access — coming soon.,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=400&h=400&fit=crop
