companyId,groupId,published,name,price,category,type,term,schedule,description,imageUrl
artists-hub-kimihurura,artists-hub,true,Inanga (Traditional Zither),85,Instruments,physical,,,"Handmade traditional Rwandan zither, ready to play.",https://images.unsplash.com/photo-1465847899084-d164df4dedc6?w=400&h=400&fit=crop
artists-hub-kimihurura,artists-hub,true,Umuduri (Musical Bow),45,Instruments,physical,,,"Traditional single-string musical bow, handcrafted.",https://images.unsplash.com/photo-1520523839897-bd0b52f945a0?w=400&h=400&fit=crop
artists-hub-kimihurura,artists-hub,true,Ingoma Drum,120,Instruments,physical,,,"Traditional ceremonial drum, handmade with cowhide skin.",https://images.unsplash.com/photo-1517841905240-472988babdf9?w=400&h=400&fit=crop
artists-hub-nyamirambo,artists-hub,true,Nyungwe Forest Cultural Tour,60,Tourism,service,,,Guided day tour combining nature and local cultural stops.,https://images.unsplash.com/photo-1516426122078-c23e76319801?w=400&h=400&fit=crop
artists-hub-nyamirambo,artists-hub,true,Kigali Heritage Walk,25,Tourism,service,,,Half-day guided walking tour of Kigali's cultural landmarks.,https://images.unsplash.com/photo-1528543606781-2f6e6857f318?w=400&h=400&fit=crop
artists-hub-nyamirambo,artists-hub,true,Village Homestay Experience,90,Tourism,service,,,"Two-day immersive stay with a local family, meals included.",https://images.unsplash.com/photo-1523805009345-7448845a9e53?w=400&h=400&fit=crop
artists-hub-nyamirambo,artists-hub,true,Traditional Dance Troupe,200,Talent Booking,service,,,Book a full intore dance troupe for your event.,https://images.unsplash.com/photo-1516450360452-9312f5e86fc7?w=400&h=400&fit=crop
artists-hub-nyamirambo,artists-hub,true,Live Traditional Music Band,180,Talent Booking,service,,,"Book musicians playing inanga, umuduri, and drums live.",https://images.unsplash.com/photo-1493225457124-a3eb161ffa5f?w=400&h=400&fit=crop
artists-hub-nyamirambo,artists-hub,true,Event Emcee (MC),100,Talent Booking,service,,,Book a professional bilingual emcee for weddings and events.,https://images.unsplash.com/photo-1478147427282-58a87a120781?w=400&h=400&fit=crop
electronics,,true,Nova X12 Smartphone,399,Phones,physical,,,"128GB storage, 6.5"" display, dual camera.",https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=400&h=400&fit=crop
electronics,,true,Nova Lite Smartphone,199,Phones,physical,,,"64GB storage, budget-friendly daily driver.",https://images.unsplash.com/photo-1592286927505-1def25115558?w=400&h=400&fit=crop
electronics,,true,Phone Case (Universal),8,Phones,physical,,,"Shockproof silicone case, multiple sizes.",https://images.unsplash.com/photo-1601593346740-925612772716?w=400&h=400&fit=crop
electronics,,true,Aero 14 Laptop,650,Laptops,physical,,,"14"" laptop, 8GB RAM, 256GB SSD.",https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=400&h=400&fit=crop
electronics,,true,Aero Pro 16 Laptop,950,Laptops,physical,,,"16"" laptop, 16GB RAM, 512GB SSD, dedicated GPU.",https://images.unsplash.com/photo-1517336714731-489689fd1ca8?w=400&h=400&fit=crop
electronics,,true,"Laptop Sleeve 15""",15,Laptops,physical,,,"Padded neoprene sleeve, water-resistant.",https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&h=400&fit=crop
electronics,,true,Wireless Earbuds Pro,65,Audio,physical,,,"Active noise cancelling, 24h battery with case.",https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=400&h=400&fit=crop
electronics,,true,Over-Ear Headphones,85,Audio,physical,,,Studio-grade over-ear headphones with mic.,https://images.unsplash.com/photo-1546435770-a3e426bf472b?w=400&h=400&fit=crop
electronics,,true,Bluetooth Speaker,45,Audio,physical,,,"Portable waterproof speaker, 12h battery.",https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?w=400&h=400&fit=crop
electronics,,true,Wireless Controller,40,Gaming,physical,,,"Bluetooth controller, compatible with PC and mobile.",https://images.unsplash.com/photo-1593305841991-05c297ba4575?w=400&h=400&fit=crop
electronics,,true,1TB Gaming SSD,75,Gaming,physical,,,NVMe SSD for faster load times.,https://images.unsplash.com/photo-1541029071515-84cc54f84dc5?w=400&h=400&fit=crop
electronics,,true,Gaming Headset,55,Gaming,physical,,,7.1 surround sound with noise-cancelling mic.,https://images.unsplash.com/photo-1599669454699-248893623440?w=400&h=400&fit=crop
electronics,,true,20W USB-C Charger,12,Accessories,physical,,,Fast-charging wall adapter.,https://images.unsplash.com/photo-1583863788434-e58a36330cf0?w=400&h=400&fit=crop
electronics,,true,10000mAh Power Bank,20,Accessories,physical,,,Dual-port portable charger.,https://images.unsplash.com/photo-1609592806598-04b3f7b0d4c0?w=400&h=400&fit=crop
gym,,true,Monthly Membership,45,Memberships,membership,ongoing,,Unlimited gym floor access for one month.,https://images.unsplash.com/photo-1534438327276-14e5300c3a48?w=400&h=400&fit=crop
gym,,true,Annual Membership,420,Memberships,membership,ongoing,,"Full year access, two months free.",https://images.unsplash.com/photo-1571731956672-f2b94d7dd0cb?w=400&h=400&fit=crop
gym,,true,Day Pass,8,Memberships,membership,dated,"{""date"":null,""capacity"":null}",Single-day access for visitors.,https://images.unsplash.com/photo-1517836357463-d25dfeac3438?w=400&h=400&fit=crop
gym,,true,HIIT Class Pack (10),60,Classes,service,,,Ten high-intensity interval training sessions.,https://images.unsplash.com/photo-1571902943202-507ec2618e8f?w=400&h=400&fit=crop
gym,,true,Yoga Class Pack (10),55,Classes,service,,,Ten guided yoga and mobility sessions.,https://images.unsplash.com/photo-1544367567-0f2fcb009e0b?w=400&h=400&fit=crop
gym,,true,Spin Class Drop-In,10,Classes,membership,dated,"{""date"":null,""capacity"":20}",Single indoor cycling session.,https://images.unsplash.com/photo-1517963628607-235ccdd5476c?w=400&h=400&fit=crop
gym,,true,Whey Protein 2kg,32,Supplements,physical,,,"Chocolate flavor, 24g protein per serving.",https://images.unsplash.com/photo-1579722820258-8f723e6d9a3b?w=400&h=400&fit=crop
gym,,true,Pre-Workout 300g,24,Supplements,physical,,,"Energy and focus blend, fruit punch.",https://images.unsplash.com/photo-1579758629938-03607ccdbaba?w=400&h=400&fit=crop
gym,,true,BCAA Capsules,18,Supplements,physical,,,90-capsule bottle for muscle recovery.,https://images.unsplash.com/photo-1556228720-195a672e8a03?w=400&h=400&fit=crop
gym,,true,Performance Tee,15,Apparel,physical,,,Moisture-wicking training t-shirt.,https://images.unsplash.com/photo-1519861531473-9200262188bf?w=400&h=400&fit=crop
gym,,true,Compression Leggings,28,Apparel,physical,,,High-waist leggings with side pockets.,https://images.unsplash.com/photo-1506629905607-c28b47e8b6b3?w=400&h=400&fit=crop
gym,,true,Gym Duffel Bag,22,Apparel,physical,,,Water-resistant bag with shoe compartment.,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&h=400&fit=crop
gym,,true,1-on-1 Session,25,Personal Training,service,,,One hour with a certified trainer.,https://images.unsplash.com/photo-1541534741688-6078c6bfb5c5?w=400&h=400&fit=crop
gym,,true,5-Session Package,110,Personal Training,service,,,"Five personal training sessions, save 12%.",https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=400&h=400&fit=crop
hardware,,true,Cordless Drill 18V,55,Tools,physical,,,"Includes battery, charger, and case.",https://images.unsplash.com/photo-1581147036324-c1c9b6a0e6b4?w=400&h=400&fit=crop
hardware,,true,Claw Hammer 16oz,9,Tools,physical,,,"Fiberglass handle, steel head.",https://images.unsplash.com/photo-1530124566582-a618bc2615dc?w=400&h=400&fit=crop
hardware,,true,Tool Set (45-piece),42,Tools,physical,,,"Sockets, wrenches, and screwdrivers in a case.",https://images.unsplash.com/photo-1504148455328-c376907d081c?w=400&h=400&fit=crop
hardware,,true,Measuring Tape 5m,6,Tools,physical,,,Retractable steel tape with lock.,https://images.unsplash.com/photo-1572981779307-38b8cabb2407?w=400&h=400&fit=crop
hardware,,true,Interior Paint 5L,28,Paint,physical,,,"Matte white, washable finish.",https://images.unsplash.com/photo-1562259949-e8e7689d7828?w=400&h=400&fit=crop
hardware,,true,Exterior Paint 5L,34,Paint,physical,,,"Weather-resistant, choice of colors.",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?w=400&h=400&fit=crop
hardware,,true,Paint Roller Kit,8,Paint,physical,,,"Roller, tray, and brush set.",https://images.unsplash.com/photo-1541123437800-1bb1317badc2?w=400&h=400&fit=crop
hardware,,true,PVC Pipe 3m,7,Plumbing,physical,,,"1-inch diameter, standard fitting.",https://images.unsplash.com/photo-1585704032915-c3400ca199e7?w=400&h=400&fit=crop
hardware,,true,Faucet Mixer Tap,24,Plumbing,physical,,,Chrome-finish kitchen mixer tap.,https://images.unsplash.com/photo-1584622781867-1c5e343df8ab?w=400&h=400&fit=crop
hardware,,true,"Pipe Wrench 14""",14,Plumbing,physical,,,Adjustable wrench for pipe fittings.,https://images.unsplash.com/photo-1581092160607-ee22621dd758?w=400&h=400&fit=crop
hardware,,true,LED Bulb Pack (4),10,Electrical,physical,,,"9W bulbs, warm white, E27 base.",https://images.unsplash.com/photo-1621905251189-08b45d6a269e?w=400&h=400&fit=crop
hardware,,true,Extension Cable 10m,12,Electrical,physical,,,3-socket extension cable with surge protection.,https://images.unsplash.com/photo-1601060506872-3e3a5a95935f?w=400&h=400&fit=crop
hardware,,true,Circuit Breaker 20A,9,Electrical,physical,,,Single-pole breaker for home panels.,https://images.unsplash.com/photo-1631679706909-1844bbd07221?w=400&h=400&fit=crop
hardware,,true,Garden Hose 20m,18,Garden,physical,,,Kink-resistant hose with spray nozzle.,https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=400&h=400&fit=crop
hardware,,true,Pruning Shears,11,Garden,physical,,,Bypass pruners for stems and small branches.,https://images.unsplash.com/photo-1585513553738-84f8c0e5d1e2?w=400&h=400&fit=crop
insurance,,true,Auto Basic Plan,25,Auto,membership,ongoing,,"Third-party liability cover, monthly premium.",https://images.unsplash.com/photo-1502877338535-766e1452684a?w=400&h=400&fit=crop
insurance,,true,Auto Comprehensive Plan,60,Auto,membership,ongoing,,"Full collision and theft cover, monthly premium.",https://images.unsplash.com/photo-1449965408869-eaa3f722e40d?w=400&h=400&fit=crop
insurance,,true,Motorcycle Plan,15,Auto,membership,ongoing,,"Cover for motorcycles and scooters, monthly.",https://images.unsplash.com/photo-1558981806-ec527fa84c39?w=400&h=400&fit=crop
insurance,,true,Health Individual Plan,40,Health,membership,ongoing,,"Outpatient and inpatient cover, monthly premium.",https://images.unsplash.com/photo-1576091160399-112ba8d25d1d?w=400&h=400&fit=crop
insurance,,true,Health Family Plan,95,Health,membership,ongoing,,"Covers up to 5 dependents, monthly premium.",https://images.unsplash.com/photo-1591123120675-6f7f1aae0e5b?w=400&h=400&fit=crop
insurance,,true,Dental Add-On,12,Health,membership,ongoing,,"Optional dental cover add-on, monthly.",https://images.unsplash.com/photo-1606811841689-23dfddce3e95?w=400&h=400&fit=crop
insurance,,true,Home Basic Plan,20,Home,membership,ongoing,,"Fire and theft cover for renters, monthly premium.",https://images.unsplash.com/photo-1560518883-ce09059eeffa?w=400&h=400&fit=crop
insurance,,true,Home Owner Plan,45,Home,membership,ongoing,,Structure and contents cover for homeowners.,https://images.unsplash.com/photo-1568605114967-8130f3a36994?w=400&h=400&fit=crop
insurance,,true,Life Term Plan,30,Life,membership,ongoing,,"20-year term life cover, monthly premium.",https://images.unsplash.com/photo-1511895426328-dc8714191300?w=400&h=400&fit=crop
insurance,,true,Life Whole Plan,70,Life,membership,ongoing,,Lifetime cover with savings component.,https://images.unsplash.com/photo-1518281420975-50db6e5d0a97?w=400&h=400&fit=crop
insurance,,true,Business Liability Plan,55,Business,membership,ongoing,,General liability cover for small businesses.,https://images.unsplash.com/photo-1454165804606-c3d57bc86b40?w=400&h=400&fit=crop
insurance,,true,Business Property Plan,80,Business,membership,ongoing,,Covers commercial property and equipment.,https://images.unsplash.com/photo-1497366216548-37526070297c?w=400&h=400&fit=crop
platform,,true,Starter Plan,20,Memberships,membership,ongoing,,"Storefront + backoffice for one business, up to 50 products.",https://images.unsplash.com/photo-1454165804606-c3d57bc86b40?w=400&h=400&fit=crop
platform,,true,Growth Plan,45,Memberships,membership,ongoing,,"Unlimited products, priority support, custom branding.",https://images.unsplash.com/photo-1460925895917-afdab827c52f?w=400&h=400&fit=crop
platform,,true,Enterprise Plan,120,Memberships,membership,ongoing,,"Multi-location support, dedicated onboarding, custom integrations.",https://images.unsplash.com/photo-1497366754035-f200968a6e72?w=400&h=400&fit=crop
